REF_DATE,GEO,DGUID,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,80 years,Persons,249,units ,0,v1060794369,70.1.99,21212,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,81 years,Persons,249,units ,0,v1060794370,70.1.100,19658,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,82 years,Persons,249,units ,0,v1060794371,70.1.101,18295,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,83 years,Persons,249,units ,0,v1060794372,70.1.102,16552,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,84 years,Persons,249,units ,0,v1060794373,70.1.103,14636,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,85 to 89 years,Persons,249,units ,0,v1060794374,70.1.104,44733,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,85 years,Persons,249,units ,0,v1060794375,70.1.105,13234,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,86 years,Persons,249,units ,0,v1060794376,70.1.106,10915,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,87 years,Persons,249,units ,0,v1060794377,70.1.107,8034,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,88 years,Persons,249,units ,0,v1060794378,70.1.108,6621,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,89 years,Persons,249,units ,0,v1060794379,70.1.109,5929,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,90 years and over,Persons,249,units ,0,v1060794380,70.1.110,22598,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,All ages,Persons,249,units ,0,v1060794381,70.2.1,2627475,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,0 to 4 years,Persons,249,units ,0,v1060794382,70.2.2,157154,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,0 years,Persons,249,units ,0,v1060794383,70.2.3,31030,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,1 year,Persons,249,units ,0,v1060794384,70.2.4,31653,,,,0
